diagnosis_id,diagnosis_name,diet_type,max_calorie,max_protein,max_fat,max_carbohydrate,max_sodium,max_sugar,max_potassium,max_phosphorus,allowed_texture,priority_level,pantangan_makanan,catatan_klinis
DG-001,Diabetes Mellitus Tipe 1,Diet Diabetes,1700,65,50,220,2000,15,3500,1000,Biasa,3,"Gula pasir, sirup, madu, selai manis, kue manis, minuman bersoda",Batasi asupan karbohidrat sederhana. Berikan porsi makan kecil tapi sering teratur dengan terapi insulin.
DG-002,Diabetes Mellitus Tipe 2,Diet Diabetes,1700,65,50,220,2000,15,3500,1000,Biasa,3,"Gula pasir, teh manis, sirup, kue manis, makanan indeks glikemik tinggi",Pemberian karbohidrat kompleks dengan indeks glikemik rendah. Monitor kadar gula darah mandiri secara rutin.
DG-003,Diabetes Gestasional,Diet Diabetes,1800,75,55,230,2000,15,3500,1000,Biasa,3,"Minuman manis, camilan tinggi gula, jus buah instan",Kebutuhan gizi ibu hamil harus tercapai sambil menjaga glukosa darah stabil. Hindari lonjakan glukosa darah pasca makan.
DG-004,Prediabetes,Diet Diabetes,1800,70,55,240,2000,20,3500,1000,Biasa,2,"Makanan cepat saji, gula rafinasi, minuman botol manis",Fokus pada pengurangan berat badan (bila overweight) dan peningkatan sensitivitas insulin via karbohidrat berserat tinggi.
DG-005,Hipoglikemia,Diet Diabetes,1900,70,60,260,2000,30,3500,1000,Biasa,3,"Melewatkan jam makan, konsumsi alkohol tanpa makanan",Jadwal makan harus tepat waktu. Selalu siapkan sumber glukosa cepat serap untuk penanganan darurat drop glukosa.
DG-006,Obesitas,Diet Rendah Kalori,1300,65,35,180,2000,15,3500,1000,Biasa,2,"Gorengan, junk food, mentega, jeroan, es krim, keju olahan",Diet defisit kalori terkontrol. Tingkatkan serat untuk memperlama rasa kenyang dan kurangi densitas kalori makanan.
DG-007,Overweight,Diet Rendah Kalori,1500,70,40,210,2000,20,3500,1000,Biasa,1,"Keripik asin/manis, minuman bersoda, kue kering, makanan berlemak jenuh tinggi",Modifikasi gaya hidup dan pengaturan porsi makan untuk mencapai berat badan ideal secara bertahap.
DG-008,Sindrom Metabolik,Diet Rendah Kalori,1400,70,35,195,1500,15,3500,1000,Biasa,2,"Kue, gorengan, mentega, margarin, makanan kaleng asin","Gabungan kontrol lingkar pinggang, tekanan darah, glukosa, dan lipid. Diet rendah lemak jenuh dan tinggi serat."
DG-009,Hipertiroid,Diet Tinggi Kalori,2600,95,75,370,2000,50,3500,1100,Biasa,2,"Kafein berlebih, suplemen yodium berlebih (bila ada anjuran dokter)",Diet tinggi energi tinggi protein (TETP) untuk mengimbangi hipermetabolisme dan mencegah penyusutan otot.
DG-010,Hipotiroid,Diet Seimbang,1800,70,50,260,2000,30,3500,1000,Biasa,1,"Makanan goitrogenik mentah berlebih (kubis, kembang kol mentah)",Pemberian nutrisi seimbang untuk mencegah kenaikan berat badan yang disebabkan oleh penurunan metabolisme basal.
